date,ticker,open,high,low,close,volume,preMarket,afterHours
2026-04-01,O:SPY260401C00655000,1.65,3.65,0.21,0.5,487836,1.65,0.5
2026-04-01,O:SPY260401P00655000,2.58,3.21,0.05,0.05,678036,2.58,0.05
2026-04-01,O:SPY260402C00655000,3.7,5.61,2.99,4.05,63254,3.7,4.05
2026-04-01,O:SPY260402P00655000,4.64,4.8,1.84,3.29,133436,4.64,3.29
2026-04-02,O:SPY260402C00656000,0.13,3.36,0.04,0.21,301257,0.13,0.21
2026-04-02,O:SPY260402P00656000,9.5,11.0,0.26,0.27,155253,9.5,0.27
2026-04-02,O:SPY260406C00656000,2.14,6.1,1.55,4.27,24763,2.14,4.27
2026-04-02,O:SPY260406P00656000,10.5,12.15,4.28,4.28,10871,10.5,4.28
2026-04-06,O:SPY260406C00659000,1.11,2.14,0.02,0.03,364361,1.11,0.03
2026-04-06,O:SPY260406P00659000,4.0,4.48,0.25,0.54,170560,4.0,0.54
2026-04-06,O:SPY260407C00659000,2.58,3.68,1.73,2.5,34867,2.58,2.5
2026-04-06,O:SPY260407P00659000,5.16,5.8,2.8,2.99,26690,5.16,2.99
2026-04-07,O:SPY260407C00659000,1.55,1.79,0.04,1.42,207718,1.55,1.42
2026-04-07,O:SPY260407P00659000,3.8,8.08,0.45,0.47,33777,3.8,0.47
2026-04-07,O:SPY260408C00659000,3.68,5.59,1.86,5.45,23850,3.68,5.45
2026-04-07,O:SPY260408P00659000,5.83,9.51,4.34,4.44,7593,5.83,4.44
2026-04-08,O:SPY260408C00676000,2.39,2.64,0.05,0.08,555557,2.39,0.08
2026-04-08,O:SPY260408P00676000,1.8,4.89,0.3,0.56,374329,1.8,0.56
2026-04-08,O:SPY260409C00676000,3.14,3.75,1.16,2.22,83803,3.14,2.22
2026-04-08,O:SPY260409P00676000,3.0,5.65,2.15,2.67,56534,3.0,2.67
2026-04-09,O:SPY260409C00680000,0.18,1.8,0.05,0.07,531768,0.18,0.07
2026-04-09,O:SPY260409P00680000,5.01,6.25,0.18,0.48,499873,5.01,0.48
2026-04-09,O:SPY260410C00680000,0.88,3.17,0.5,1.97,123207,0.88,1.97
2026-04-09,O:SPY260410P00680000,5.73,6.5,1.81,2.29,112858,5.73,2.29
2026-04-10,O:SPY260410C00679000,3.1,3.45,0.19,0.48,446520,3.1,0.48
2026-04-10,O:SPY260410P00679000,0.66,1.31,0.07,0.08,752137,0.66,0.08
2026-04-10,O:SPY260413C00679000,4.75,4.94,2.91,3.14,39706,4.75,3.14
2026-04-10,O:SPY260413P00679000,2.21,3.59,1.64,2.68,87360,2.21,2.68
2026-04-13,O:SPY260413C00686000,0.02,0.45,0.01,0.28,163939,0.02,0.28
2026-04-13,O:SPY260413P00686000,8.33,9.32,0.1,0.12,37310,8.33,0.12
2026-04-13,O:SPY260414C00686000,0.17,2.08,0.15,1.84,68520,0.17,1.84
2026-04-13,O:SPY260414P00686000,8.44,9.33,1.63,1.65,20205,8.44,1.65
2026-04-14,O:SPY260414C00694000,0.05,0.79,0.04,0.19,664847,0.05,0.19
2026-04-14,O:SPY260414P00694000,5.98,6.23,0.1,0.11,307979,5.98,0.11
2026-04-14,O:SPY260415C00694000,0.32,2.34,0.32,1.9,118699,0.32,1.9
2026-04-14,O:SPY260415P00694000,6.41,6.41,1.74,1.81,92997,6.41,1.81
2026-04-15,O:SPY260415C00700000,0.13,0.53,0.03,0.04,700471,0.13,0.04
2026-04-15,O:SPY260415P00700000,4.87,5.8,0.17,0.6,138341,4.87,0.6
2026-04-15,O:SPY260416C00700000,0.5,2.17,0.46,1.63,112244,0.5,1.63
2026-04-15,O:SPY260416P00700000,5.21,5.92,1.86,2.16,40112,5.21,2.16
2026-04-16,O:SPY260416C00702000,0.93,1.36,0.02,0.03,924774,0.93,0.03
2026-04-16,O:SPY260416P00702000,1.84,3.79,0.39,0.63,274466,1.84,0.63
2026-04-16,O:SPY260417C00702000,2.15,2.88,1.16,1.57,150218,2.15,1.57
2026-04-16,O:SPY260417P00702000,2.89,4.55,1.85,1.96,46804,2.89,1.96
2026-04-17,O:SPY260417C00710000,0.45,2.59,0.17,0.42,890853,0.45,0.42
2026-04-17,O:SPY260417P00710000,4.0,4.53,0.03,0.03,802969,4.0,0.03
2026-04-17,O:SPY260420C00710000,1.22,3.95,1.11,2.59,117236,1.22,2.59
2026-04-17,O:SPY260420P00710000,5.0,5.01,1.57,2.11,118889,5.0,2.11
2026-04-20,O:SPY260420C00709000,1.52,1.94,0.02,0.05,658160,1.52,0.05
2026-04-20,O:SPY260420P00709000,1.69,3.23,0.27,0.42,347383,1.69,0.42
2026-04-20,O:SPY260421C00709000,2.97,3.33,1.53,1.77,76019,2.97,1.77
2026-04-20,O:SPY260421P00709000,2.9,4.28,2.05,2.09,39373,2.9,2.09
2026-04-21,O:SPY260421C00704000,6.19,7.37,0.2,2.83,86594,6.19,2.83
2026-04-21,O:SPY260421P00704000,0.2,1.6,0.03,0.13,455837,0.2,0.13
2026-04-21,O:SPY260422C00704000,6.75,7.96,2.68,4.4,23709,6.75,4.4
2026-04-21,O:SPY260422P00704000,1.1,3.57,0.72,1.72,54795,1.1,1.72
2026-04-22,O:SPY260422C00711000,0.79,1.12,0.07,0.08,638932,0.79,0.08
2026-04-22,O:SPY260422P00711000,2.61,3.24,0.1,0.55,174750,2.61,0.55
2026-04-22,O:SPY260423C00711000,1.79,2.37,1.34,1.75,77924,1.79,1.75
2026-04-22,O:SPY260423P00711000,3.81,4.1,1.8,2.17,25275,3.81,2.17
2026-04-23,O:SPY260423C00708000,2.56,4.44,0.23,0.24,296820,2.56,0.24
2026-04-23,O:SPY260423P00708000,1.16,5.91,0.13,0.61,477804,1.16,0.61
2026-04-23,O:SPY260424C00708000,3.9,5.5,1.53,2.38,65936,3.9,2.38
2026-04-23,O:SPY260424P00708000,2.16,6.91,0.91,2.45,113080,2.16,2.45
2026-04-24,O:SPY260424C00714000,0.57,1.42,0.07,0.12,627856,0.57,0.12
2026-04-24,O:SPY260424P00714000,3.59,5.12,0.15,0.37,349952,3.59,0.37
2026-04-24,O:SPY260427C00714000,2.06,3.39,1.28,2.62,71708,2.06,2.62
2026-04-24,O:SPY260427P00714000,4.99,6.17,2.73,2.84,38835,4.99,2.84
2026-04-27,O:SPY260427C00715000,0.7,1.0,0.22,0.28,614247,0.7,0.28
2026-04-27,O:SPY260427P00715000,2.5,2.89,0.25,0.31,330413,2.5,0.31
2026-04-27,O:SPY260428C00715000,1.72,2.23,1.12,1.7,93818,1.72,1.7
2026-04-27,O:SPY260428P00715000,3.47,3.75,1.61,1.65,69846,3.47,1.65
2026-04-28,O:SPY260428C00712000,1.59,2.04,0.04,0.12,720707,1.59,0.12
2026-04-28,O:SPY260428P00712000,1.72,3.12,0.11,0.22,260565,1.72,0.22
2026-04-28,O:SPY260429C00712000,3.37,3.85,1.72,2.44,79797,3.37,2.44
2026-04-28,O:SPY260429P00712000,3.44,4.7,2.34,2.47,29661,3.44,2.47
2026-04-29,O:SPY260429C00712000,1.86,2.33,0.02,0.02,234657,1.86,0.02
2026-04-29,O:SPY260429P00712000,2.91,4.29,0.41,3.08,79255,2.91,3.08
2026-04-29,O:SPY260430C00712000,3.37,4.21,1.54,1.54,34353,3.37,1.54
2026-04-29,O:SPY260430P00712000,4.4,5.74,2.55,5.12,12890,4.4,5.12
2026-04-30,O:SPY260430C00719000,0.39,1.11,0.06,0.5,238492,0.39,0.5
2026-04-30,O:SPY260430P00719000,4.83,8.6,0.34,0.46,105275,4.83,0.46
2026-04-30,O:SPY260501C00719000,1.2,2.57,0.42,2.03,61214,1.2,2.03
2026-04-30,O:SPY260501P00719000,5.42,8.45,1.56,1.74,48418,5.42,1.74
2026-05-01,O:SPY260501C00721000,1.52,4.07,0.03,0.04,233786,1.52,0.04
2026-05-01,O:SPY260501P00721000,1.23,1.45,0.09,0.7,542199,1.23,0.7
2026-05-01,O:SPY260504C00721000,2.96,5.0,1.8,1.85,38255,2.96,1.85
2026-05-01,O:SPY260504P00721000,2.61,2.83,1.14,2.42,73918,2.61,2.42
2026-05-04,O:SPY260504C00718000,2.89,4.23,0.03,0.05,450496,2.89,0.05
2026-05-04,O:SPY260504P00718000,0.9,3.51,0.18,0.46,446129,0.9,0.46
2026-05-04,O:SPY260505C00718000,4.15,5.0,1.78,1.97,69986,4.15,1.97
2026-05-04,O:SPY260505P00718000,1.85,4.51,0.86,2.31,81525,1.85,2.31
2026-05-05,O:SPY260505C00724000,0.4,1.18,0.14,0.28,671681,0.4,0.28
2026-05-05,O:SPY260505P00724000,2.59,2.82,0.16,0.23,442683,2.59,0.23
2026-05-05,O:SPY260506C00724000,1.16,2.52,1.14,1.84,98616,1.16,1.84
2026-05-05,O:SPY260506P00724000,3.34,3.42,1.44,1.68,81593,3.34,1.68
2026-05-06,O:SPY260506C00734000,0.09,0.75,0.05,0.49,446418,0.09,0.49
2026-05-06,O:SPY260506P00734000,5.06,5.59,0.03,0.05,140190,5.06,0.05
2026-05-06,O:SPY260507C00734000,0.3,2.35,0.28,2.06,53976,0.3,2.06
2026-05-06,O:SPY260507P00734000,6.2,6.2,1.54,1.58,33269,6.2,1.58
2026-05-07,O:SPY260507C00732000,3.53,4.27,0.02,0.33,465622,3.53,0.33
2026-05-07,O:SPY260507P00732000,0.51,2.65,0.09,0.24,460388,0.51,0.24
2026-05-07,O:SPY260508C00732000,4.72,5.27,1.52,2.15,68018,4.72,2.15
2026-05-07,O:SPY260508P00732000,1.52,3.76,0.99,1.87,64836,1.52,1.87
2026-05-08,O:SPY260508C00738000,0.35,0.92,0.02,0.02,665689,0.35,0.02
2026-05-08,O:SPY260508P00738000,3.52,3.68,0.37,1.59,224605,3.52,1.59
2026-05-08,O:SPY260511C00738000,1.4,2.46,1.25,1.75,62057,1.4,1.75
2026-05-08,O:SPY260511P00738000,4.42,4.48,2.13,2.25,30392,4.42,2.25
2026-05-11,O:SPY260511C00739000,0.2,1.85,0.02,0.12,593391,0.2,0.12
2026-05-11,O:SPY260511P00739000,2.7,2.82,0.12,0.28,608670,2.7,0.28
2026-05-11,O:SPY260512C00739000,1.45,3.08,1.39,1.88,77515,1.45,1.88
2026-05-11,O:SPY260512P00739000,3.63,3.65,1.33,1.97,82302,3.63,1.97
2026-05-12,O:SPY260512C00738000,0.96,1.03,0.02,0.04,422773,0.96,0.04
2026-05-12,O:SPY260512P00738000,1.96,6.15,0.08,0.62,82385,1.96,0.62
2026-05-12,O:SPY260513C00738000,2.07,2.35,0.38,1.54,62835,2.07,1.54
2026-05-12,O:SPY260513P00738000,2.79,6.4,1.48,2.05,28230,2.79,2.05
2026-05-13,O:SPY260513C00742000,0.23,2.03,0.1,0.78,317389,0.23,0.78
2026-05-13,O:SPY260513P00742000,3.64,6.58,0.03,0.03,333263,3.64,0.03
2026-05-13,O:SPY260514C00742000,1.0,3.35,0.54,2.38,40356,1.0,2.38
2026-05-13,O:SPY260514P00742000,4.79,6.87,1.34,1.57,55045,4.79,1.57
